college_institution_id,name,university_id,district_code,state_code,city,autonomous,girl_exclusive,infrastructure_id,is_accredited,offers_scholarship,offers_loan,accreditation_id,accreditation_body,score,max_score,has_score,Total_Students,courses,c_Agriculture,c_Area_Studies,c_Arts,c_Commerce,c_Criminology_&_Forensic_Science,c_Cultural_Studies,c_Defence_Studies,c_Design,c_Disability_Studies,c_Education,c_Engineering_&_Technology,c_Fashion_Technology,c_Fine_Arts,c_Fisheries_Science,c_Foreign_Language,c_Gandhian_Studies,c_Home_Science,c_IT_&_Computer,c_Indian_Language,c_Journalism_&_Mass_Communication,c_Law,c_Library_&_Information_Science,c_Linguistics,c_Management,c_Marine_Science_/_Oceanography,c_Medical_Science,c_Oriental_Learning,c_Physical_Education,c_Religious_Studies,c_Science,c_Social_Science,c_Social_Work,c_Veterinary_&_Animal_Sciences,c_Women_Studies
5795,U. T. S. Mahila Arts College,148,483,24,NADIAD - 387001,False,True,161440,True,True,False,24374,NAAC,2.92,4,True,722,Arts Sociology Economics Other Indian Languages,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
896,"SHREE SHARDAPEETH ARTS,COMM.& EDUCATION COLLEGE-DWARKA",783,669,24,DWARKA,False,False,166056,True,True,False,25051,AAA,5.48,10,True,798,Education Commerce Arts,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,"SHREE SHARDAPEETH ARTS,COMM.& EDUCATION COLLEGE-DWARKA",783,669,24,DWARKA,False,False,166056,True,True,False,25050,NAAC,1.75,4,True,798,Education Commerce Arts,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5842,"Government Arts & Commerce, Naswadi",782,486,24,"Naswadi, Dist: CHHOTAUDEPUR",False,False,156169,True,True,False,23574,AAA,53.7155,100,True,897,Commerce Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855,"SMT. C.P. CHOKSI ARTS & SHREE P.L. CHOKSI COMMERCE COLLEGE, VERAVAL",783,479,24,VERAVAL,False,False,155007,True,True,False,23337,NAAC,3,4,True,1545,Commerce Arts Arts Arts Arts Arts Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5843,Kapadia N. M. M. S. Arts & The S. N. S. B. Commerce College,782,486,24,Sankheda-391145,False,False,157441,True,True,False,23787,NAAC,1.51,4,True,848,Commerce Arts Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5876,K. R. Desai Arts & Commerce College,782,485,24,AT JHALOD-389170,False,False,157355,True,True,False,23777,ICAR,2.09,4,True,2063,Education Education Commerce Arts,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6060,Law College,782,484,24,GODHRA-389001,True,False,164949,True,True,False,24887,NAAC,1.89,4,True,310,Law,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5836,Limkehda Arts College,782,485,24,LIMKHEDA,False,False,171422,True,True,False,25980,NAAC,1.97,4,True,968,Arts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5887,M. M. Gandhi Arts & Commerce College,782,484,24,KALOL-389330,False,False,154600,True,True,False,23276,NAAC,2.23,4,True,642,Commerce Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,"ARTS & COMMERCE COLLEGE, BARAVALA",783,479,24,BARAWALA-362020,False,False,155300,True,True,False,23372,NAAC,1.79,4,True,606,Commerce Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,"ARTS, COMMERCE COMPUTER SCIENCE COLLEGE-MANAVADAR",783,479,24,MANAVADAR,True,False,155453,True,True,False,23402,NAAC,2,4,True,4284,Other Science Commerce Arts Computer Application,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5890,M. & V. Arts and Commerce College,782,484,24,Halol - 389350,False,False,158288,True,True,False,23911,NAAC,2.28,4,True,1212,Commerce Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5865,Navjivan Arts and Commerce College,782,485,24,Dahod - 389151,False,False,168135,True,True,False,25411,NAAC,2.6,4,True,2645,Education Commerce Commerce Arts,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5923,Navjivan Science College,782,485,24,Dahod Pin Code 389151,False,False,166522,True,True,False,25122,AAA Gujarat,2.65,4,True,1253,Science Chemistry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5923,Navjivan Science College,782,485,24,Dahod Pin Code 389151,False,False,166522,True,True,False,25121,NAAC,2.31,4,True,1253,Science Chemistry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5983,Sarvodaya College of Education,782,484,24,Derol Station,False,False,178785,True,True,False,27354,NAAC,2.42,4,True,47,Education,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5801,S. C. A. Patel Arts College,782,486,24,Vadodara,False,False,164166,True,True,False,24767,NAAC,2.2,4,True,354,Arts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6017,Sheth M. N. C. College of Education,782,486,24,Dabhoi,False,False,155798,True,True,False,23474,NAAC,2.54,4,True,47,Education,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6017,Sheth M. N. C. College of Education,782,486,24,Dabhoi,False,False,155798,True,True,False,23475,AAA (GUJARAT),2.65,4,True,47,Education,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5852,Sheth P. T. Arts & Science College,782,484,24,Godhra,False,False,160870,True,True,False,24301,NAAC,2.01,4,True,2603,Science Chemistry Arts History English,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5877,Sheth T. C. Kapadia Arts & Commerce College,782,486,24,Bodeli    Ta : sankheda,False,False,156323,True,True,False,23597,NAAC,2.85,4,True,1835,Commerce Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5864,Shree B. K. Patel Arts and Smt. L. M. Patel Commerce College,782,486,24,"Savli, Ta: Savli",False,False,156529,True,True,False,23633,NAAC,2.25,4,True,560,Commerce Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5859,Shree J. L. K. Kotecha Arts & S. H. Gardi Commerce College,782,484,24,Kakanpur,False,False,161464,True,True,False,24384,NAAC,1.83,4,True,781,Commerce Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5873,Shri Janki Vallabh Arts And Shri M. S. Patel Commerce College,782,486,24,VADODARA,False,False,167200,True,False,False,25248,NAAC,2.21,4,True,394,Commerce Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5806,Shri. M. C. Rathva Arts College,782,486,24,Pavi jetpur,False,False,163450,True,True,False,24685,NAAC,2.4,4,True,1137,Arts Other Indian Languages Sanskrit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5956,Shri Natvarsinhji Arts & Science & Shri S. G. Patel Commerce College,782,486,24,CHHOTAUDEPUR,False,False,176345,True,True,False,26880,NAAC,1.98,4,True,1662,Science Commerce Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5831,Shri N. K. Mehta & Smt. M. F. Dani Arts College,782,484,24,MALVAN - 389265,False,False,188756,True,True,False,29089,NAAC,2.02,4,True,1691,Arts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5917,"Shri P. N. Pandya Arts, Shri M. P. Pandya Science & D. P. Pandya Commerce College",782,484,24,Lunawada,False,False,176298,True,True,False,26869,NAAC,2.41,4,True,2188,Chemistry Science Chemistry Commerce Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5976,Shri Sarvajanik College of Education,782,484,24,GODHRA,False,False,154551,True,True,False,23259,NAAC,2.21,4,True,50,Education,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5805,Shri S. P. Patel Arts College,782,484,24,Simaliya - 389341,False,False,160325,True,True,False,24208,AAA Gujarat,406.64,999,True,854,Arts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5854,SKUB Arts & Smt N. C. Zaveri Commerce College,782,486,24,VADODARA,False,False,174259,True,False,False,26477,NAAC,1.67,4,True,398,Commerce Arts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5817,Smt. C. R. Gardi Arts College,782,484,24,"Munpur ,389240",False,False,156942,True,True,False,23708,NAAC,2.24,4,True,1120,Arts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5848,Smt. H. C. Patel (Kandari) Arts and Commerce College,782,486,24,Miyagam Karjan -391240  District : Vadodara,False,False,155544,True,True,False,23418,NAAC,2.61,4,True,1018,Commerce Arts Hindi,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
